Move:  Attack Order | BUG | EOT 0 | 2 | DB9 | PHYSICAL |  6, 1 Target |  Attack Order is a Critical Hit on 18+. |
Move:  Bone Club | GROUND | AW 0 | 5 | DB7 | PHYSICAL |  Melee, 1 Target |  Bone Club Flinches the target on 18+. |
Move:  Bone Rush | GROUND | EOT 0 | 4 | DB3 | PHYSICAL |  Melee, 1 Target, Five Strike |  None |
Move:  Bonemerang | GROUND | EOT 0 | 3 | DB5 | PHYSICAL |  6, 1 Target, Double Strike |  None |
Move:  Bulldoze | GROUND | EOT 0 | 3 | DB6 | PHYSICAL |  Burst 1 |  All Legal Targets are lowered 1 Speed Combat Stage. |
Move:  Dig | GROUND | EOT 0 | 3 | DB8 | PHYSICAL |  Burst 1, Set-Up, Full Action, Groundsource |  The user shifts 25 meters underground and their turn ends.->The user may shift horizontally using their burrow or overland speed, and then shifts 25 meters straight up. Upon reaching the surface, the user attacks with Dig, creating a Burst 1. |
Move:  Drill Run | GROUND | AW 0 | 3 | DB8 | PHYSICAL |  Melee, 1 Target |  Drill Run is a Critical Hit on 18+. |
Move:  Earth Power | GROUND | EOT 0 | 2 | DB9 | SPECIAL |  6, 1 Target, Groundsource |  Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16+. |
Move:  Earthquake | GROUND | SCENE 0 | 2 | DB10 | PHYSICAL |  Burst 3, Groundsource |  Earthquake can hit targets that are underground, including those using the Move Dig. |
Move:  Fissure | GROUND | DAILY 0 | 0 | NON | STATUS |  5, 1 Target, Execute, Groundsource |  Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User’s Level - The Target’s Level. |
Move:  High Horsepower | GROUND | SCENE 2 | 3 | DB10 | PHYSICAL |  Melee, 1 Target |  High Horsepower may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, High Horsepower gains Smite. |
Move:  Land’s Wrath | GROUND | SCENE 2 | 2 | DB9 | PHYSICAL |  Burst 5, Friendly, Groundsource |  Tough |
Move:  Magnitude | GROUND | EOT 0 | 2 | NON | PHYSICAL |  Burst 2, Groundsource |  When you use Magnitude, roll 1d6. Magnitude’s is equal to 5+X, where X is the value of the d6. Magnitude can hit targets that are underground, including those using the Move Dig. |
Move:  Mud Bomb | GROUND | AW 0 | 4 | DB7 | SPECIAL |  6, 1 Target |  The target’s Accuracy is lowered by -1 on 16+. |
Move:  Mud Shot | GROUND | AW 0 | 3 | DB6 | SPECIAL |  3, 1 Target |  The target’s Speed is lowed by -1 Combat Stage. |
Move:  Mud Sport | GROUND | EOT 0 | 0 | NON | STATUS |  Burst 2 |  All targets in the burst, including the user, gain a Coat which grants them 1 Step of Resistance to Electric Type Moves. After a target has been hit by a damaging Electric Type Move, the coat is removed. |
Move:  Mud-Slap | GROUND | AW 0 | 2 | DB2 | SPECIAL |  3, 1 Target |  The target’s Accuracy is lowered by -1. |
Move:  Precipice Blades | GROUND | SCENE 2 | 5 | DB12 | PHYSICAL |  Burst 1, Smite |  None |
Move:  Rototiller | GROUND | SCENE 0 | 0 | NON | STATUS |  Burst 2 |  All Grass-type Pokémon in the area raise their Attack and Special Attack 1 Combat Stage. |
Move:  Sand Tomb | GROUND | SCENE 2 | 4 | DB4 | PHYSICAL |  5, 1 Target |  The target is put in a Vortex. |
Move:  Sand Attack | GROUND | EOT 0 | 2 | NON | STATUS |  2, 1 Target |  The target is Blinded until the end of their next turn. |
Move:  Shore Up | GROUND | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  The user regains Hit Points equal to half of its full Hit Point value. If it is Sand Storming, the user gains 2/3 of its full Hit Point value instead. If it is Sunny, Rainy or Hailing the user gains 1/4 of their full Hit Point value instead. |
Move:  Spikes | GROUND | AW 0 | 0 | NON | STATUS |  6, Hazard |  Set 8 square meters of Spikes within your range, all 8 meters must be adjacent with at least one other space of Spikes. Spikes cause terrain to count as Slow Terrain, and a grounded foe that runs into the hazards will lose a Tick of Hit Points and become Slowed until the end of their next turn. |
Move:  Stomping Tantrum | GROUND | EOT 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  If the user’s last attack failed or missed, Stomping Tantrum is DB 15 (4d10+10 / 45) instead. |
Move:  Thousand Arrows | GROUND | SCENE 0 | 2 | DB9 | PHYSICAL |  6, 1 Target |  When calculating Weakness and Resistance for Thousand Arrows, Flying-Typed targets calculate damage as if Flying was neutral to Ground. Thousand Arrows ignores the Levitate ability. The target is knocked down to ground level, and loses all Sky or Levitate Speeds for 3 turns. During this time, they may be hit by Ground-Type Moves even if normally immune. |
Move:  Thousand Waves | GROUND | SCENE 0 | 2 | DB9 | PHYSICAL |  Burst 1, Groundsource |  Legal Targets are Trapped for 2 rounds. |
Move:  Aurora Beam | ICE | AW 0 | 2 | DB7 | SPECIAL |  6, 1 Target |  Aurora Beam lowers the target’s Attack 1 Combat Stage on 18+. |
Move:  Aurora Veil | ICE | SCENE 0 | 0 | NON | STATUS |  Blessing |  Blessing – Any user affected by Aurora Veil may activate it when receiving Damage to resist the Damage one step. Aurora Veil may be activated 2 times, and then disappears. Aurora Veil can only be used when the user is in Hailing Weather. The Blessings persist even after Hailing Weather has ended, however. |
Move:  Avalanche | ICE | EOT 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  When declaring Avalanche, the user does nothing and may not Shift. At the end of the round, the user Shifts and uses Avalanche on any legal target. If the target damaged the user this round, Avalanche has a  |
Move:  Blizzard | ICE | SCENE 2 | 7 | DB11 | SPECIAL |  4, Ranged Blast 2, Smite |  Blizzard Freezes all legal target on 15+. If the target is in Hailing Weather, Blizzard cannot miss. |
Move:  Freeze-Dry | ICE | EOT 0 | 2 | DB7 | SPECIAL |  6, 1 Target |  When calculating Weakness and Resistance for Freeze-Dry, Water-Typed targets calculate damage as if Water was weak to Ice. |
Move:  Freeze Shock | ICE | SCENE 0 | 4 | DB14 | PHYSICAL |  10, 1 Target, Set-Up, Full Action |  The user may Shift, then ends their turn.->The user attacks with Freeze Shock. Freeze Shock Paralyzes on 15+. |
Move:  Frost Breath | ICE | EOT 0 | 3 | DB6 | SPECIAL |  4, 1 Target |  If Frost Breath hits, it is a Critical Hit. |
Move:  Glaciate | ICE | EOT 0 | 3 | DB7 | SPECIAL |  Burst 2 |  All Legal Targets have their Speed lowered 1 Combat Stage. On an Even-Numbered Roll, all Legal Targets on the ground are Slowed. |
Move:  Hail | ICE | DAILY 2 | 0 | NON | STATUS |  Field, Weather |  The weather changes to Hail for 5 rounds. While it is Hailing, all non-Ice Type Pokémon lose a Tick of Hit Points at the beginning of their turn. |
Move:  Haze | ICE | SCENE 2 | 0 | NON | STATUS |  Field |  The Combat Stages of the user and all Pokémon and Trainers in the encounter are set to their default state (usually 0). |
Move:  Ice Ball | ICE | AW 0 | 4 | DB3 | PHYSICAL |  4, 1 Target |  The user continues to use Ice Ball on each of its turns until they miss any target with Ice Ball, or are not able to hit any target with Ice Ball during their turn. Each successive use of Ice Ball increases Ice Ball’s  |
Move:  Ice Beam | ICE | EOT 0 | 2 | DB9 | SPECIAL |  4, 1 Target |  Ice Beam Freezes on 19+ during Accuracy Check. |
Move:  Ice Burn | ICE | SCENE 0 | 4 | DB14 | PHYSICAL |  10, 1 Target, Set-Up, Full Action |  The user may Shift, then ends their turn.->The user attacks with Ice Burn. Ice Burn Burns on 15+. |
Move:  Ice Fang | ICE | AW 0 | 3 | DB7 | PHYSICAL |  Melee, 1 Target |  Ice Fang Freezes or Flinches on 18+ during Accuracy Check; flip a coin to determine whether the foe gets Frozen or Flinches. On 20 during Accuracy Check, the foe is Frozen and Flinches. |
Move:  Ice Hammer | ICE | EOT 0 | 4 | DB10 | PHYSICAL |  Melee, 1 Target |  The user’s Speed is lowered by 1 Combat Stage. |
Move:  Ice Punch | ICE | AW 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  Ice Punch Freezes the target on 19+ during Accuracy Check. |
Move:  Ice Shard | ICE | AW 0 | 2 | DB4 | PHYSICAL |  4, 1 Target, Priority |  None |
Move:  Icicle Crash | ICE | EOT 0 | 4 | DB8 | PHYSICAL |  6, 1 Target |  Icicle Crash Flinches the target on 15+ |
Move:  Icicle Spear | ICE | AW 0 | 4 | DB3 | PHYSICAL |  6, 1 Target, Five Strike |  None |
Move:  Icy Wind | ICE | EOT 0 | 3 | DB6 | SPECIAL |  Cone 2 |  All Legal Targets have their Speed lowered 1 Combat Stage. |
Move:  Mist | ICE | SCENE 2 | 0 | NON | STATUS |  Blessing |  Blessing – Any user affected by Mist may activate it when having Combat Stages lowered by any effect; if they do, those Combat Stages are instead not lowered. Mist may be activated 3 times, and then disappears. |
Move:  Powder Snow | ICE | AW 0 | 2 | DB4 | SPECIAL |  Line 4 |  Powder Snow Freezes all Legal Targets on 19+ |
Move:  Sheer Cold | ICE | DAILY 0 | 0 | NON | STATUS |  4, 1 Target, Execute |  Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User’s Level - The Target’s Level. |
Move:  Acupressure | NORMAL | EOT 0 | 2 | NON | STATUS |  Melee, 1 Target or Self |  Roll 1d6. On a result of 1, raise the target’s Attack 2 Combat Stages. On a result of 2, raise the target’s Defense 2 Combat Stages. On a result of 3, raise the target’s Special Attack 2 Combat Stages. On a result of 4, raise the target’s Special Defense 2 Combat Stages. On a result of 5, raise the target’s Speed 2 Combat Stages. On a result of 6, raise the target’s Accuracy by +2. The AC check is None when targeting the user. |
Move:  After You | NORMAL | SCENE 2 | 0 | NON | STATUS |  6, 1 Target, Swift Action |  The target takes their turn for the round immediately after the user finishes their turn, ignoring Initiative. After You may only affect a target that has not yet acted that round and can only affect willing targets. |
Move:  Assist | NORMAL | SCENE 2 | 0 | NON | STATUS |  Self |  Randomly select another Pokémon on the user’s roster and then randomly select a Move that Pokémon knows. Assist’s user uses that Move immediately. |
Move:  Attract | NORMAL | SCENE 2 | 2 | NON | STATUS |  3, 1 Target, Social |  Attract Infatuates the target if its gender is the opposite of the user’s. Attract fails when used by or against Genderless targets. |
Move:  Barrage | NORMAL | AW 0 | 4 | DB2 | PHYSICAL |  6, 1 Target, Five Strike |  None |
Move:  Baton Pass | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  The user is replaced with another Pokémon from their trainer’s roster. All Combat Stages, Coats, and [Stratagems] on Baton Pass’ user are transferred to the replacement. Baton Pass may be used to switch even if the user is Trapped. [Stratagems] that transfer to an ineligible target immediately become unbound. |
Move:  Belly Drum | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self |  The user gains +6 Attack Combat Stages, and loses Hit Points equal to ½ of their Max Hit Points. |
Move:  Bestow | NORMAL | AW 0 | 0 | NON | STATUS |  Melee, 1 Target, Swift Action |  The user gives its held item to the target, unless the target is already holding an item. |
Move:  Bide | NORMAL | SCENE 0 | 0 | NON | PHYSICAL |  Burst 1, Friendly |  The user may use Bide as a Reaction Move upon being Hit by a Damaging Move, using up their next Standard Action as Normal. During the next turn where they have an available Standard Action, the user may Shift and then use Bide, causing all Adjacent foes to lose X HP, where X is the amount of Damage taken since declaring use of Bide (Loss of life through effects such as Poison is not ‘Damage’). Until Bide is released, the user may not voluntarily trigger any other effects that would use a Standard Action or prevent a Standard Action from being used. |
Move:  Bind | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points. |
Move:  Block | NORMAL | AW 0 | 2 | NON | STATUS |  Melee, 1 Target |  The target is Stuck and Trapped until the beginning of your next turn. |
Move:  Body Slam | NORMAL | SCENE 2 | 2 | DB9 | PHYSICAL |  Melee, 1 Target |  Body Slam Paralyzes the target on 15+. |
Move:  Boomburst | NORMAL | SCENE 0 | 2 | DB14 | SPECIAL |  Burst 1, Sonic |  None |
Move:  Camouflage | NORMAL | EOT 0 | 0 | NON | STATUS |  Self |  The user changes their Type to match the field. Forests and grassy areas change the user into Grass-Type. Watery areas change the user into Water-Type. Caves and Mountains could change the user into Rock-Type or Ground-Type. An icy terrain would turn the user into Ice-Type. A building may change the user into Steel-Type or Normal-Type. Weather affects what Type the user becomes. Use common sense, if you are having difficult determining what type the user should become, consult the GM. |
Move:  Captivate | NORMAL | SCENE 0 | 2 | NON | STATUS |  Cone 2, Friendly, Social |  Captivate lowers the target’s Special Attack 2 Combat Stages. Captivate may not affect something that is the same gender as the user or something that is genderless. |
Move:  Chip Away | NORMAL | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  Ignore any Armor, Damage Reduction, or changes in the target’s Defense or Special Defense (such as from Combat Stages) when calculating damage. |
Move:  Comet Punch | NORMAL | AW 0 | 4 | DB2 | PHYSICAL |  Melee, 1 Target, Five Strike |  None |
Move:  Confide | NORMAL | AW 0 | 2 | NON | STATUS |  4, 1 Target Social |  The target’s Special Attack is lowered 1 Combat Stage. |
Move:  Constrict | NORMAL | AW 0 | 2 | DB1 | PHYSICAL |  Melee, 1 Target |  Constrict lowers the target’s Speed 1 Combat Stage. Constrict may be used as a Swift Action against targets the user is Grappling, and automatically hits when performed this way. |
Move:  Conversion | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  The user becomes the elemental Type of their choice as long as they have a Move that is the same elemental Type until the end of the encounter. Replace all other Types. |
Move:  Conversion2 | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  The user becomes the elemental Type of their choice as long as the Type resists the elemental Type of the Move it last took damage from until the end of the encounter. Replace all other Types. |
Move:  Copycat | NORMAL | SCENE 2 | 0 | NON | STATUS |  4, 1 Target |  Use the Move the target has used on their last turn. You may choose new targets for the Move. Copycat cannot miss. |
Move:  Covet | NORMAL | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  Covet takes the target’s Held Item or Accessory Slot Item and attaches it to Covet’s user, if the user is not holding anything. |
Move:  Crush Claw | NORMAL | EOT 0 | 3 | DB7 | PHYSICAL |  Melee, 1 Target, Dash |  Crush Claw lowers the target’s Defense 1 Combat Stage on Even-Numbered Rolls. |
Move:  Crush Grip | NORMAL | SCENE 0 | 2 | DB12 | PHYSICAL |  Melee, 1 Target |  For every 10% the target is below their full Hit Points, Crush Grip’s  |
Move:  Cut | NORMAL | AW 0 | 3 | DB5 | PHYSICAL |  Melee, Pass |  Cut ignores up to 5 Damage Reduction (Defenses are not Damage Reduction). |
Move:  Defense Curl | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  The user’s Defense is raised 1 Combat Stage and they become Curled Up until the end of the Scene or they are Recalled or Take a Breather. When using the Moves Rollout or Ice Ball while Curled Up, the user gains a +10 bonus to the damage rolls of those Moves. |
Move:  Disable | NORMAL | SCENE 0 | 0 | NON | STATUS |  1 Target, Trigger |  Disable may be used as a Free Action that does not take up a Command whenever the user is hit by a Move. That Move becomes Disabled for the attacker. |
Move:  Dizzy Punch | NORMAL | AW 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  Dizzy Punch Confuses the target on 17+ |
Move:  Double-Edge | NORMAL | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Dash, Recoil 1/3 |  None |
Move:  Double Hit | NORMAL | EOT 0 | 3 | DB4 | PHYSICAL |  Melee, 1 Target, Double Strike |  None |
Move:  Double Slap | NORMAL | AW 0 | 4 | DB2 | PHYSICAL |  Melee, 1 Target, Five Strike |  None |
Move:  Double Team | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self, Illusion, Coat |  The user gains 3 activations of Double Team. The user may either activate Double Team when being targeted by an attack to increase their Evasion by +2 against that attack; or when making an attack to increase their Accuracy by +2 for that attack. |
Move:  Echoed Voice | NORMAL | EOT 0 | 2 | DB4 | SPECIAL |  3, 1 Target, Sonic |  If Echoed Voice was used by any Pokémon or Trainer in the Encounter on the previous round, increase its  |
Move:  Egg Bomb | NORMAL | SCENE 2 | 6 | DB10 | PHYSICAL |  5, Blast 2 |  None |
Move:  Encore | NORMAL | SCENE 2 | 2 | NON | STATUS |  4, 1 Target, Social |  Roll 1d6. On a result of 1 or 2, the target becomes Confused; on a result of 3 or 4 the target becomes Suppressed; on a result of 5 or 6 the target becomes Enraged. |
Move:  Endeavor | NORMAL | SCENE 0 | 2 | NON | PHYSICAL |  Melee, 1 Target, Dash |  The target loses a Tick of Hit Points for each Injury the user has. |
Move:  Endure | NORMAL | DAILY 0 | 0 | NON | STATUS |  Self, Reaction, Trigger, Free Action |  If the user is hit by a damaging Move, you may use Endure. If the Move would bring Endure’s user down to 0 Hit Points or less, Endure’s user instead is set to 1 Hit Point. |
Move:  Entrainment | NORMAL | SCENE 0 | 2 | NON | STATUS |  4, 1 Target |  The target gains one of the user’s Abilities for 3 turns. |
Move:  Explosion | NORMAL | DAILY 0 | 2 | DB25 | PHYSICAL |  Burst 2, Smite |  The user’s Hit Points are set to -50% of their full Hit Point value. This Hit Point loss cannot be prevented or reduced in any way. The user’s loyalty toward its trainer may be lowered. |
Move:  Extreme Speed | NORMAL | EOT 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target, Dash, Priority |  None |
Move:  Façade | NORMAL | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  If the user is afflicted with a Persistent Status Affliction, Façade’s  |
Move:  Fake Out | NORMAL | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target, Priority |  You may only use Fake Out with Priority upon joining an encounter; if you do, Fake Out Flinches the target, and gives them a -2 penalty to accuracy until the end of their next turn. Switching out resets the requirement of joining an encounter. |
Move:  False Swipe | NORMAL | AW 0 | 2 | DB4 | PHYSICAL |  Melee, Pass |  False Swipe’s damage cannot bring a target lower than 1 Hit Point. |
Move:  Feint | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self, Trigger, Free Action |  If a foe uses a Move with the Shield Keyword in response to one of your actions, you may activate Feint to cause the triggering Move to fail and be expended. |
Move:  Flail | NORMAL | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  For each Injury the user has, Flail’s  |
Move:  Flash | NORMAL | EOT 0 | 2 | NON | STATUS |  Cone 2 |  The Accuracy of all Legal Targets is lowered by -1. |
Move:  Focus Energy | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  The user becomes Pumped. While Pumped, the user’s Critical Range is extended by 2, or 18+ if the Critical Range is not otherwise extended. Being switched will cause this effect to end. |
Move:  Follow Me | NORMAL | SCENE 0 | 0 | NON | STATUS |  Burst 5, Friendly, Social |  Until the end of the user’s next turn, all targets must target the user when using a Move that targets their opponents. This effect ends if the user is Fainted or Switched out. |
Move:  Foresight | NORMAL | SCENE 2 | 0 | NON | STATUS |  Self, Swift Action |  For the rest of the turn, the user’s Normal-Type and Fighting-Type Moves can hit and affect Ghost-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those. |
Move:  Frustration | NORMAL | EOT 0 | 2 | NON | PHYSICAL |  Melee, 1 Target |  Frustration’s  |
Move:  Fury Attack | NORMAL | AW 0 | 4 | DB2 | PHYSICAL |  Melee, 1 Target, Five Strike |  None |
Move:  Fury Swipes | NORMAL | AW 0 | 5 | DB3 | PHYSICAL |  Melee, 1 Target, Five Strike |  None |
Move:  Giga Impact | NORMAL | DAILY 2 | 4 | DB15 | PHYSICAL |  Melee, 1 Target, Dash, Exhaust, Smite |  None |
Move:  Glare | NORMAL | SCENE 2 | 2 | NON | STATUS |  4, 1 Target, Social |  Glare Paralyzes the target. |
Move:  Growl | NORMAL | AW 0 | 2 | NON | STATUS |  Burst 1, Friendly, Sonic, Social |  Growl lowers all Legal Targets Attack 1 Combat Stage. |
Move:  Growth | NORMAL | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Attack 1 Combat Stage and raise the user’s Special Attack 1 Combat Stage. If it is Sunny, double the amount of Combat Stages gained. |
Move:  Guillotine | NORMAL | DAILY 0 | 0 | NON | STATUS |  Melee, 1 Target, Execute |  Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User’s Level - The Target’s Level. |
Move:  Harden | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  Raise the user’s Defense 1 Combat Stage. |
Move:  Headbutt | NORMAL | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  Headbutt Flinches the target on 15+. |
Move:  Head Charge | NORMAL | SCENE 2 | 2 | DB12 | PHYSICAL |  Melee, 1 Target, Push, Recoil 1/3 |  The target is Pushed back 2 meters. |
Move:  Heal Bell | NORMAL | SCENE 0 | 0 | NON | STATUS |  Burst 3, Sonic, Healing |  All targets are cured of any Persistent Status ailments. |
Move:  Helping Hand | NORMAL | EOT 0 | 0 | NON | STATUS |  4, 1 Target, Priority |  Helping Hand grants the target +2 on their next Accuracy Roll this round, and +10 to the next Damage Roll this round. |
Move:  Hidden Power | NORMAL | EOT 0 | 2 | DB6 | SPECIAL |  Burst 1 |  When a Pokémon first obtains the Move Hidden Power, roll 1d20. Hidden Power’s Elemental Type will be changed from Normal to Bug on a result of 1; Dark on 2; Dragon on 3; Electric on 4; Fairy on 5; Fighting on 6; Fire on 7; Flying on 8; Ghost on 9; Grass on 10; Ground on 11; Ice on 12; Normal on 13; Poison on 14; Psychic on 15; Rock on 16; Steel on 17; Water on 18; and on 19 or 20, reroll until you roll another number. This effect is permanent – if Hidden Power is forgotten and relearned, the chosen Type remains the same. |
Move:  Hold Hands | NORMAL | SCENE 2 | 0 | NON | STATUS |  Melee, 1 Target |  The target and the user each gain three Ticks of Temporary Hit Points, and a +2 Bonus to Save Checks for 1 full round. |
Move:  Horn Attack | NORMAL | AW 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target, Dash |  None |
Move:  Horn Drill | NORMAL | DAILY 0 | 0 | NON | STATUS |  Melee, 1 Target, Execute |  Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User’s Level - The Target’s Level. |
Move:  Howl | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  Raise the user’s Attack 1 Combat Stage. |
Move:  Hyper Beam | NORMAL | DAILY 2 | 4 | DB15 | SPECIAL |  10, 1 Target, Exhaust, Smite |  None |
Move:  Hyper Fang | NORMAL | AW 0 | 4 | DB8 | PHYSICAL |  Melee, 1 Target |  Hyper Fang Flinches the target on 19+. |
Move:  Hyper Voice | NORMAL | SCENE 2 | 2 | DB9 | SPECIAL |  Close Blast 3, Sonic, Smite |  All Legal Targets are pushed back to the squares immediately outside the blast, away from the user. |
Move:  Judgement | NORMAL | DAILY 0 | 2 | DB10 | SPECIAL |  6, Ranged Blast 3, Smite |  Judgment’s Type can be whatever Elemental Type the user wants it to be. |
Move:  Laser Focus | NORMAL | SCENE 2 | 0 | NON | STATUS |  Self |  The next successful damaging attack made by the user is automatically a Critical Hit. |
Move:  Last Resort | NORMAL | AW 0 | 2 | DB14 | PHYSICAL |  Melee, 1 Target, Dash |  Last Resort can only be used after the user has performed 5 other different Moves in its Move List during a single fight, without being switched out. |
Move:  Leer | NORMAL | AW 0 | 2 | NON | STATUS |  Cone 2, Friendly, Social |  All legal targets have their Defense lowered by 1 Combat Stage. |
Move:  Lock-On | NORMAL | AW 0 | 0 | NON | STATUS |  10, 1 Target |  The target is Locked-On. The next Move that the user uses against the Target that requires an Accuracy Check cannot miss. Lock-On’s effect, on both the User and Target, is passed on by Baton Pass. |
Move:  Lovely Kiss | NORMAL | SCENE 2 | 6 | NON | STATUS |  6, 1 Target, Social |  The target falls Asleep. |
Move:  Lucky Chant | NORMAL | SCENE 0 | 0 | NON | STATUS |  Blessing |  Blessing – Any user affected by Lucky Chant may activate it when receiving a Critical Hit to cause the attack to instead deal damage as if it was not a Critical Hit. Lucky Chant may be activated 3 times, and then disappears. |
Move:  Me First | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self, Trigger, Interrupt |  If an opponent declares a Damaging Attack against the user, and Me First’s user has a higher Speed stat then the target, the user may use Me First as an Interrupt. The User will then use the same Move the triggering foe was about to use on that foe. |
Move:  Mean Look | NORMAL | SCENE 0 | 0 | NON | STATUS |  6, 1 Target, Social |  The user casts a foul spell on the target, causing it to become Trapped and Slowed for the remainder of the encounter. |
Move:  Mega Kick | NORMAL | SCENE 2 | 6 | DB12 | PHYSICAL |  Melee, 1 Target, Dash, Push, Smite |  The target is Pushed 2 meters. |
Move:  Mega Punch | NORMAL | AW 0 | 4 | DB8 | PHYSICAL |  Melee, 1 Target |  None |
Move:  Metronome | NORMAL | SCENE 2 | 0 | NON | STATUS |  Self |  Metronome randomly uses any other Move except for After You, Anchor Shot, Assist, Bestow, Copycat, Covet, Destiny Bond, Focus Punch, Follow Me, Helping Hand, Instruct, Metronome, Mimic, Mirror Move, Quash, Rage Powder, Sketch, Sleep Talk, Snore, Switcheroo, Thief, Transform, Trick, or any move with the Trigger Keyword. You may take your turn’s Shift Action if you want (and it is available) after determining what Move Metronome uses, but before using it. |
Move:  Milk Drink | NORMAL | DAILY 2 | 0 | NON | STATUS |  Melee, 1 Target or Self; Healing |  The target regains Hit Points equal to half of its full Hit Point value. |
Move:  Mimic | NORMAL | SCENE 0 | 0 | NON | STATUS |  6, 1 Target |  Choose a Move that the target has used during the encounter. For the remainder of the encounter, that Move replaces Mimic on the user’s Move List. Mimic cannot miss. |
Move:  Mind Reader | NORMAL | SCENE 0 | 0 | NON | STATUS |  6, 1 Target |  The target becomes Read to the user until the end of the user’s next turn. The user may end this effect when making an Attack on the user, causing that attack to automatically hit; OR when the Read target uses an Attack against the user, causing that attack to automatically miss. If the user has the Telepathy Capability, the user automatically succeeds on a mindreading attempt against the target, and may listen to the target’s surface thoughts as long as they remain Read. Mind Reader automatically misses against targets with Mindlock. |
Move:  Minimize | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self |  The user gains +4 Evasion, and user’s size is lowered to Small for the remainder of the encounter. |
Move:  Morning Sun | NORMAL | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value. |
Move:  Multi-Attack | NORMAL | EOT 0 | 2 | DB9 | PHYSICAL |  Melee, 1 Target |  Multi-Attack is the same Type as the Memory Disc, Plate, or Drive Item held. |
Move:  Natural Gift | NORMAL | SCENE 0 | 2 | NON | PHYSICAL |  6, 1 Target, Berry |  Refer to the Move Keywords Berry list. Natural Gift deals damage according to the Berry list and Natural Gift’s Type is also defined there. The Berry’s Digestion Buff is nullified and is not used. |
Move:  Nature Power | NORMAL | EOT 0 | 0 | NON | STATUS |  See Effect, Environ |  Nature Power uses a Move defined by the Environ keyword. |
Move:  Noble Roar | NORMAL | EOT 0 | 2 | NON | STATUS |  Burst 1, Sonic, Friendly, Social |  Noble Roar lowers all targets’ Attack and Special Attack by 1 Combat Stage. |
Move:  Odor Sleuth | NORMAL | SCENE 2 | 0 | NON | STATUS |  Self, Swift Action |  Odor Sleuth may be activated as a Swift Action on the user’s turn. For the rest of the turn, the user’s Normal-Type and Fighting-Type Moves can hit and affect Ghost-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those. |
Move:  Pain Split | NORMAL | DAILY 2 | 0 | NON | STATUS |  4, 1 Target |  The user and the target both lose ½ of their current Hit Points. Add the amount of Hit Points the user and the target lost together, and divide the value by 2. Both the target and the user gain Hit Points equal to this value. Do not add Injuries from Pain Split from Hit Point Markers until the full effect of the Move has been resolved. Pain Split never causes Massive Damage. Hit Point loss from Pain Split cannot be prevented in any way. |
